ip, mean, std
4202654,2.2224049024736567,1.9026867714292082
4202659,1.9113715134510645,1.7096276267081216
4202663,1.679093864282812,1.6749904485001736
4202709,2.005214294798423,2.4535565501675642
4202713,1.8537834448160535,2.2907505196048032
4202799,1.1387045518272736,0.42231458296023267
4202843,1.6616984150065435,1.9687629455138491
4202866,1.6398937416985702,2.0173725960331135
4202875,1.1442473909981432,0.4304507297289104
4202879,1.4897090889751636,1.718978761097571
4202908,1.5963330693793019,1.8160167256748294
4202912,1.091620341774758,0.4637861364691102
4202916,1.394919489172682,1.590073695992237
4202955,10.717074179538983,8.149112212270069
4202963,1.9663556724797266,1.0053795284881726
4203200,10.477257489678536,4.607216114737837
4203468,8.521437422552664,18.889471085350035
4203476,2.3219418960244647,1.7659128565156081
4203481,1.5692993545811431,1.8831928327548049
4203531,10.313194584764599,4.27959365850502
4203537,1.4682946357085669,0.5564919772249809
4203781,6.31296961777197,6.173156818958731
4203787,1.8974409643315877,0.30338206913257626
4203799,1.5586876783045782,1.8970191950117479
4203982,2.352629890955741,2.763838203437968
4203986,1.5542089985486212,1.8900569768577928
4204032,5.2318958502847845,5.447775305251888
4204038,2.6692774407060122,2.04754554926338
4204054,5.483412641840214,3.7005678595263816
4204066,2.080777231683621,6.696730454393987
4204071,1.039587159544265,0.49528079673510356
4204148,1.086713961016599,0.28141544019721104
4204160,9.98697873743201,3.7056697128157006
4204166,1.8753753753753755,0.3302927906597071
4204170,2.800959015651859,10.284684328265447
4204174,2.1553155535963557,7.349147375920881
4204193,5.003249707526322,14.510922383511712
4204222,8.033700885230626,14.843877105218152
4204228,3.579384706697003,12.744075853559549
4204323,1.616743531618854,2.1810833282833557
4204327,1.0837241862093105,0.3071731252843845
4204362,14.03086263597268,17.88370840312531
4204377,1.8610599328058957,2.025506018869946
4204382,1.1441126053260582,3.338232124110798
4204482,5.986112061298488,1.608117635853067
4204495,2.8610687022900763,8.132797265583147
4204501,2.3747676833934626,7.014044356392806
4201648,260.40255870794795,164.429164297296
4201658,15.933000712758375,12.533472467680303
4201968,5.1561483409238775,2.625945862142492
4201986,212.5104889569095,293.63647419337065
4201991,4.769444780452401,3.5138696272147936
4202197,20.392895586652315,18.917064277904785
4202035,338.8899708807624,323.7828646944399
4202040,5.349227909636832,3.91856646181004
4202087,131.1755110384301,225.0410411857191
4202092,3.3013202174475795,3.953516956196193
4201819,1.3930719021431874,1.6111375811876165
4201836,1.2388710076751672,1.20088451058912
4201847,1.0423607925762761,0.524329805499338
4201858,1.0355913210592627,0.7763487590172659
4201875,1.0346889775085635,1.1249928895177999
4201895,1.0256491412464468,0.4538243650854452
4201909,1.035424939960229,0.5968163119220837
4201924,1.0287716655437311,0.4409027708200927
4202584,10.815333645607666,6.984530880932414
4202617,1.2644056968732096,0.5696581280186972
4202621,1.0236685824670793,0.3808566481784642
4202686,1.108538474780513,0.37435121857858256
4201697,2.005888586567378,0.5805869248738766
4201708,4.778447714413645,1.1490463304497267
4201743,1.9183047649001415,1.994608999625699
4201754,1.9544094904769655,0.5807943204255668
4201766,1.0556543671369427,0.6413214811377819
4201778,1.0358138569225293,0.5191851043820677
4201790,1.052795607530506,0.622991943323871
4201802,1.1995029808803985,0.5909892168105418
4203923,9.707750472589792,4.757208881108068
4203929,1.501951905059338,1.48032461375359
4203943,2.2519607843137255,2.167913535291699
4203947,1.7138532035021683,1.972778180096235
4203951,1.3484931808183018,0.48028663128775173
4203274,2.8960834762721555,2.386876063471786
4203283,2.093933658730949,2.233558996622952
4203619,4.295926028371597,3.4593063023945922
4203653,1.0933300149328025,0.7316601911810006
4202644,2.691470054446461,2.0389175150073746
4202649,1.114451720003689,0.3794214781375507
4201714,1.7348916761687572,2.0258062332723785
4201731,1.5608386372145264,1.7822141926472865
4201748,129.25499136962213,82.81917381320207
4203879,1.6295791446583745,1.6029027309377992
4203221,11.23951048951049,6.983270100664994
4203230,4.834087544935504,4.860968810977207
4202597,7.983516483516484,6.532868185448016
4202605,10.583122789287518,7.800476666909846
4204474,2.3798411122144985,3.0753869254759527
4204478,2.1033820138355113,2.550277692697123
4203840,1.499627606752731,1.5412242713407958
4203851,1.2226805541232684,0.46081455300718466
4203865,7.811367987041673,5.292189414190197
4203875,1.598578514844155,1.9574864917734291
4202559,6.888965044551062,4.483005174232866
4202564,2.0723335636950013,2.3483385913937536
4202568,1.0488292811259947,0.5692847520170079
4202580,1.0300503266105325,0.38364071405338557
4204434,2.9511527048619035,3.4723792476548607
4204439,1.4990683416481336,1.8011242433431098
4203795,2.962356792144026,3.1441458880488016
4203124,1.9433985709847779,0.320902356405363
4203214,5.777597694939672,4.93308972548981
4202516,1.4350262156882903,1.6899513902721237
4202528,14.870852373188821,5.0466909747374205
