ip, mean, std
9545879,1.0,0.0
9545884,7.454545454545454,2.5956587552696555
9545894,1.3188976377952757,0.46604928323501266
9545897,1.0,0.0
9545901,1.0,0.0
9545904,1.0,0.0
9545907,1.0,0.0
9545915,1.8461538461538463,1.2385570913926622
9545920,1.0567184334908846,0.23130381058950025
9545923,1.017296604740551,0.1303742006878688
9545621,4.001618122977346,3.7636479544940524
9545633,1.604810996563574,2.213014663075173
9545637,1.0266768292682926,0.1611371342940016
9545640,1.0,0.0
9545643,1.0,0.0
9545647,1.0,0.0
9545659,4.850220264317181,2.7179510041085626
9545663,1.0,0.0
9545679,3.784144765187419,3.1320813968511123
9545770,1.121212121212121,0.3263736246748184
9545781,1.050063371356147,0.21807574419133435
9545785,1.0,0.0
9545789,1.0,0.0
9545793,2.0806451612903225,1.1818300065627336
9545803,1.4608294930875576,0.49846330997197913
9545806,2.18,1.5835403373454053
9545816,1.5748792270531402,0.494361306491441
9545819,1.0,0.0
9545822,1.0,0.0
9545826,1.0,0.0
9545871,1.0,0.0
9545595,1.0,0.0
9545600,1.0,0.0
9545604,1.0,0.0
9545608,1.0,0.0
9545690,1.0,0.0
9545695,1.0,0.0
9545699,1.0,0.0
9545703,1.0,0.0
9545707,1.0,0.0
9545712,8.105381165919283,5.305899729538267
9545716,1.0,0.0
9545776,1.0,0.0
9545864,7.467842323651452,3.904195412304788
9545868,1.0297435897435898,0.1698790999880634
9545961,10.555555555555555,2.753224820747526
9545326,9.213333333333333,5.180201626277579
9545750,4.016113744075829,4.322181964578729
9545754,1.0233463035019454,0.15100083978157247
9545767,1.0681818181818181,0.25205764787294493
9545625,1.0,0.0
9545724,1.0,0.0
9545729,5.9391891891891895,2.920631066922408
9545733,1.0,0.0
9543696,5.5,3.304037933599835
9543705,6.1875,2.6743866119168334
9543856,1.0,0.0
9543862,2.4464285714285716,1.5459583580737093
9543872,1.0,0.0
9543896,1.0,0.0
9543882,1.859375,1.2974396361199236
9543892,1.0,0.0
9543851,1.0,0.0
9543906,1.0,0.0
9543846,3.2542372881355934,1.8648689719863412
